motif,observed,ER_mean,ER_std,ER_z,spatial_null_mean,spatial_null_std,spatial_null_z
003,210368,189805.0,0.0,inf,465747.0,0.0,-inf
012,20846,40550.0,0.0,-inf,0.0,0.0,inf
102,1100,776.0,0.0,inf,31187.0,0.0,-inf
021D,898,697.0,0.0,inf,0.0,0.0,inf
021U,215,706.0,0.0,-inf,0.0,0.0,inf
021C,450,1433.0,0.0,-inf,0.0,0.0,inf
111D,47,55.0,0.0,-inf,0.0,0.0,inf
111U,154,53.0,0.0,inf,0.0,0.0,inf
030T,32,41.0,0.0,-inf,0.0,0.0,inf
030C,3,16.0,0.0,-inf,0.0,0.0,inf
201,7,0.0,0.0,inf,701.0,0.0,-inf
120D,5,1.0,0.0,inf,0.0,0.0,inf
120U,5,3.0,0.0,inf,0.0,0.0,inf
120C,5,0.0,0.0,inf,0.0,0.0,inf
210,1,0.0,0.0,inf,0.0,0.0,inf
300,0,0.0,0.0,,5.0,0.0,-inf
